,Genome,time_create,mother,age
0,Right Foto Eat Up Left Right Chemo Up Foto Down Up Down Foto Chemo Foto Down Chemo Down Left Down Foto Down Left Down Foto,0,-1,48
1,Chemo Foto Right Eat Chemo Up Up Up Down Right Left Left Up Right Down Chemo Left Up Chemo Left Foto Chemo Right Eat Up,0,-1,8
2,Up Chemo Eat Down Up Right Foto Foto Foto Down Up Left Eat Chemo Eat Chemo Foto Foto Right Chemo Foto Eat Chemo Left Up,0,-1,51
3,Left Left Right Chemo Eat Up Up Up Eat Eat Chemo Left Eat Right Right Left Down Foto Eat Up Foto Up Down Left Left,0,-1,2
4,Right Right Right Chemo Foto Left Eat Right Up Foto Left Up Left Right Up Left Right Eat Right Right Foto Foto Down Right Eat,0,-1,1
5,Chemo Down Chemo Up Down Eat Chemo Chemo Up Left Left Up Chemo Left Right Chemo Foto Up Right Left Chemo Foto Eat Chemo Eat,0,-1,51
6,Down Foto Eat Eat Up Down Foto Eat Eat Chemo Foto Chemo Left Up Foto Foto Down Chemo Down Up Up Eat Up Left Foto,0,-1,23
7,Up Left Eat Foto Right Foto Chemo Left Eat Down Left Up Foto Right Chemo Foto Left Eat Eat Right Right Eat Foto Foto Left,0,-1,34
8,Up Up Chemo Left Chemo Right Left Right Eat Left Left Right Right Left Left Foto Eat Foto Eat Eat Down Left Foto Down Down,0,-1,25
9,Foto Down Eat Foto Right Down Chemo Right Down Down Left Left Right Foto Eat Eat Eat Chemo Up Left Right Down Up Chemo Right,0,-1,12
10,Left Up Up Left Up Chemo Foto Up Right Chemo Chemo Foto Foto Up Down Foto Up Right Down Left Up Right Up Right Up,0,-1,2
11,Chemo Foto Eat Chemo Down Foto Left Chemo Up Chemo Left Down Left Left Left Right Eat Chemo Right Chemo Left Left Foto Foto Right,0,-1,8
12,Left Foto Eat Up Right Eat Chemo Foto Chemo Chemo Chemo Up Right Foto Down Left Foto Right Foto Up Up Left Right Chemo Down,0,-1,33
13,Foto Up Down Up Chemo Eat Down Down Foto Chemo Up Down Chemo Eat Foto Chemo Down Eat Up Eat Down Left Right Down Up,0,-1,51
14,Chemo Foto Foto Left Foto Foto Right Chemo Left Chemo Foto Up Up Up Chemo Eat Down Down Down Chemo Up Up Up Foto Up,0,-1,1
15,Down Right Foto Chemo Down Left Left Down Up Right Right Down Down Chemo Down Up Left Right Left Eat Down Right Left Foto Left,0,-1,3
16,Chemo Left Eat Down Eat Right Down Left Eat Eat Down Right Chemo Down Down Up Down Eat Down Left Left Right Eat Left Foto,0,-1,5
17,Left Eat Left Chemo Down Chemo Left Eat Chemo Foto Down Down Up Left Right Down Down Up Up Eat Down Up Left Up Eat,0,-1,13
18,Down Down Eat Chemo Up Foto Right Down Chemo Foto Up Right Foto Left Foto Down Eat Right Foto Up Left Down Left Foto Up,0,-1,4
19,Right Right Chemo Chemo Down Foto Right Down Eat Eat Foto Right Up Up Right Down Eat Chemo Right Up Chemo Foto Foto Right Left,0,-1,2
20,Up Up Foto Eat Up Down Eat Up Left Down Right Foto Up Up Eat Eat Down Foto Up Right Left Foto Eat Foto Eat,0,-1,45
21,Down Chemo Down Eat Foto Foto Right Right Up Up Up Eat Eat Right Up Right Right Foto Down Chemo Eat Foto Eat Left Right,0,-1,51
22,Eat Eat Foto Up Eat Up Eat Left Foto Foto Down Right Right Eat Eat Right Up Up Down Right Up Left Chemo Eat Chemo,0,-1,49
